Date,Effective Federal Funds Rate,Treasury Bill Secondary Market Rate,Treasury Constant Maturity Rate,Breakeven Inflation Rate,Forward Inflation Expectation Rate,Bank Prime Loan Rate
2009-01-01,0.14,0.94,3.2,2.03,2.63,4
2009-01-02,0.08,0.94,3.29,2.05,2.73,4
2009-01-03,0.08,0.94,3.27,2.06,2.74,4
2009-01-04,0.08,0.94,3.34,2.07,2.79,4
2009-01-05,0.11,0.93,3.28,2.06,2.74,4
2009-01-06,0.09,0.94,3.35,2.01,2.71,4
2009-01-07,0.11,0.94,3.43,2.02,2.72,4
2009-01-08,0.1,0.94,3.47,2.05,2.71,4
2009-01-09,0.09,0.95,3.49,2.09,2.71,4
2009-01-10,0.09,0.93,3.45,2.09,2.71,4
2009-01-11,0.09,0.92,3.29,2.05,2.67,4
2009-01-12,0.1,0.93,3.19,2.02,2.68,4
2009-01-13,0.1,0.94,3.14,2.02,2.7,4
2009-01-14,0.15,0.94,3.14,2,2.68,4
2009-01-15,0.18,0.93,3.22,2,2.66,4
2009-01-16,0.19,0.93,3.14,1.91,2.57,4
2009-01-17,0.19,0.92,3.15,1.92,2.52,4
2009-01-18,0.19,0.94,3.24,1.98,2.5,4
2009-01-19,0.19,0.93,3.2,1.99,2.55,4
2009-01-20,0.2,0.92,3.27,2.01,2.57,4
2009-01-21,0.23,0.91,3.38,2.02,2.6,4
2009-01-22,0.21,0.93,3.46,2.04,2.6,4
2009-01-23,0.18,0.92,3.43,2.05,2.61,4
2009-01-24,0.18,0.92,3.46,2.06,2.6,4
2009-01-25,0.18,0.91,3.42,2.07,2.61,4
2009-01-26,0.19,0.9,3.23,2.03,2.59,4
2009-01-27,0.18,0.91,3.28,2.06,2.6,4
2009-01-28,0.19,0.91,3.33,2.09,2.55,4
2009-01-29,0.23,0.91,3.28,2.09,2.57,4
2009-01-30,0.23,0.88,3.21,2.11,2.63,4
2009-01-31,0.23,0.89,3.23,2.1,2.6,4
2009-02-01,0.23,0.89,3.26,2.08,2.52,4
2009-02-02,0.24,0.89,3.21,2.02,2.48,4
2009-02-03,0.24,0.88,3.18,2,2.46,4
2009-02-04,0.24,0.87,3.17,1.97,2.47,4
2009-02-05,0.23,0.86,3.16,1.98,2.42,4
2009-02-06,0.23,0.89,3.19,1.98,2.42,4
2009-02-07,0.23,0.88,3.3,2.04,2.46,4
